epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4062,2.52857,6.60371,2.62881,0,0,0,0,nan,nan,nan,0.000651163,0.000651163,0.000651163
2,32.8899,3.16502,3.02182,2.84802,0.00028,0.00136,0.00014,1e-05,nan,nan,nan,0.00130478,0.00130478,0.00130478
3,46.4895,3.29602,3.22562,2.88638,0.01005,0.03804,0.00156,0.00048,nan,nan,nan,0.0019452,0.0019452,0.0019452
4,60.1738,3.24988,3.00208,2.90807,0.0568,0.11277,0.01518,0.00606,4.86841,29.6201,5.77856,0.0019406,0.0019406,0.0019406
5,73.8706,2.97556,2.63345,2.71854,0.38495,0.2962,0.27225,0.14822,3.50659,28.3178,3.66315,0.0019208,0.0019208,0.0019208
6,87.5524,2.97002,2.44615,2.71258,0.56902,0.34511,0.35812,0.20247,3.57933,9.01454,3.66902,0.001901,0.001901,0.001901
7,101.239,2.77823,2.26415,2.59433,0.66249,0.46739,0.52984,0.31112,3.0083,3.23857,2.89354,0.0018812,0.0018812,0.0018812
8,114.942,2.68127,2.16382,2.5364,0.59657,0.52989,0.53015,0.32934,2.96651,4.14625,2.85626,0.0018614,0.0018614,0.0018614
9,128.638,2.58406,1.98003,2.49287,0.8022,0.53261,0.63583,0.40621,2.66219,3.56281,2.65762,0.0018416,0.0018416,0.0018416
10,142.334,2.47388,1.90884,2.46088,0.8647,0.62772,0.72914,0.49118,2.44051,2.15083,2.48937,0.0018218,0.0018218,0.0018218
11,155.993,2.46224,1.88601,2.45955,0.86405,0.64402,0.73936,0.48603,2.50935,2.06377,2.56918,0.001802,0.001802,0.001802
12,169.598,2.43766,1.8063,2.40692,0.79907,0.69022,0.77317,0.49085,2.41381,1.86959,2.5087,0.0017822,0.0017822,0.0017822
13,183.284,2.36382,1.66781,2.39266,0.79437,0.70516,0.77105,0.50816,2.44071,2.04401,2.47549,0.0017624,0.0017624,0.0017624
14,196.973,2.32183,1.64442,2.37124,0.85025,0.71467,0.79023,0.53756,2.34541,1.71031,2.41951,0.0017426,0.0017426,0.0017426
15,210.642,2.2973,1.66203,2.33957,0.79351,0.7038,0.77568,0.53845,2.30535,1.89097,2.41781,0.0017228,0.0017228,0.0017228
16,224.226,2.29229,1.62641,2.32906,0.81076,0.72011,0.78293,0.54235,2.2414,1.88427,2.34013,0.001703,0.001703,0.001703
17,237.924,2.25906,1.63641,2.32035,0.91135,0.72011,0.83446,0.59589,2.11874,1.50324,2.26987,0.0016832,0.0016832,0.0016832
18,251.631,2.20519,1.54422,2.29618,0.90542,0.68934,0.7959,0.56452,2.26222,1.64608,2.37045,0.0016634,0.0016634,0.0016634
19,265.245,2.21618,1.50625,2.28289,0.87608,0.75887,0.85458,0.59605,2.14258,1.40357,2.33024,0.0016436,0.0016436,0.0016436
20,278.956,2.15459,1.46352,2.28242,0.86437,0.76199,0.82883,0.58293,2.13239,1.46023,2.32513,0.0016238,0.0016238,0.0016238
21,292.595,2.17776,1.50967,2.26856,0.88855,0.7149,0.82107,0.5691,2.21223,1.79938,2.36027,0.001604,0.001604,0.001604
22,306.104,2.16665,1.44646,2.29496,0.87452,0.76495,0.83624,0.59088,2.14568,1.47445,2.38317,0.0015842,0.0015842,0.0015842
23,319.676,2.12,1.46728,2.25625,0.75732,0.73777,0.78602,0.5579,2.16508,1.97153,2.31203,0.0015644,0.0015644,0.0015644
24,333.287,2.04608,1.37024,2.21172,0.92254,0.70245,0.82524,0.57626,2.20501,1.45482,2.3665,0.0015446,0.0015446,0.0015446
25,346.864,2.07846,1.38595,2.22121,0.91339,0.68778,0.80255,0.56499,2.12288,1.64309,2.30009,0.0015248,0.0015248,0.0015248
26,360.513,2.06122,1.35235,2.2172,0.87917,0.75951,0.83737,0.58829,2.13075,1.41742,2.31935,0.001505,0.001505,0.001505
27,374.108,2.04183,1.33621,2.21365,0.85671,0.78799,0.85223,0.61929,1.9957,1.46644,2.23555,0.0014852,0.0014852,0.0014852
28,387.764,1.98387,1.29322,2.18544,0.94162,0.74457,0.86918,0.63798,1.9829,1.27319,2.21901,0.0014654,0.0014654,0.0014654
29,401.449,1.97104,1.3028,2.1862,0.87684,0.73098,0.80537,0.56981,2.18665,1.72967,2.40291,0.0014456,0.0014456,0.0014456
30,414.994,1.95456,1.28146,2.18319,0.90291,0.7337,0.81891,0.59579,2.01557,1.60621,2.25025,0.0014258,0.0014258,0.0014258
31,428.576,1.95221,1.25504,2.15319,0.89021,0.75,0.81154,0.60685,1.96886,1.56921,2.22024,0.001406,0.001406,0.001406
32,442.19,1.95345,1.27263,2.16318,0.91047,0.78756,0.87625,0.64832,1.88835,1.17808,2.16419,0.0013862,0.0013862,0.0013862
33,455.859,1.88025,1.21421,2.14413,0.92052,0.78676,0.87615,0.65009,1.89588,1.19714,2.18224,0.0013664,0.0013664,0.0013664
34,469.529,1.84503,1.19688,2.12594,0.93036,0.79867,0.88369,0.6624,1.88508,1.16549,2.17617,0.0013466,0.0013466,0.0013466
35,483.235,1.8726,1.21664,2.12567,0.93426,0.75308,0.83907,0.62404,1.91161,1.5744,2.19397,0.0013268,0.0013268,0.0013268
36,496.816,1.81215,1.12062,2.0966,0.92123,0.7962,0.87768,0.63853,1.92502,1.26088,2.23234,0.001307,0.001307,0.001307
37,510.433,1.83688,1.1703,2.09999,0.91583,0.7835,0.87171,0.6565,1.88685,1.24931,2.18863,0.0012872,0.0012872,0.0012872
38,524.028,1.86012,1.14697,2.10508,0.90222,0.70652,0.80618,0.57424,2.13675,1.6476,2.32993,0.0012674,0.0012674,0.0012674
39,537.638,1.84257,1.17096,2.11807,0.90722,0.79891,0.87809,0.63282,1.92705,1.25927,2.19714,0.0012476,0.0012476,0.0012476
40,551.184,1.79603,1.11366,2.08391,0.94074,0.79812,0.88185,0.66692,1.79895,1.18165,2.1208,0.0012278,0.0012278,0.0012278
41,564.916,1.81161,1.14064,2.08686,0.90906,0.80978,0.88778,0.66551,1.87408,1.12186,2.16813,0.001208,0.001208,0.001208
42,578.483,1.76082,1.08822,2.0762,0.91344,0.80571,0.88689,0.66124,1.85905,1.12123,2.16361,0.0011882,0.0011882,0.0011882
43,592.033,1.7802,1.09293,2.08855,0.91364,0.74728,0.86239,0.63841,1.94784,1.42284,2.24016,0.0011684,0.0011684,0.0011684
44,605.563,1.71256,1.03829,2.0435,0.93353,0.80707,0.895,0.68114,1.82948,1.10332,2.14729,0.0011486,0.0011486,0.0011486
45,619.182,1.7332,1.07456,2.05305,0.93501,0.78533,0.89133,0.68127,1.80976,1.11537,2.17173,0.0011288,0.0011288,0.0011288
46,632.736,1.7356,1.0567,2.05105,0.9373,0.81114,0.8986,0.68596,1.74735,1.06555,2.11824,0.001109,0.001109,0.001109
47,646.453,1.68922,1.06453,2.0311,0.92195,0.81851,0.90243,0.68551,1.75844,1.02289,2.11385,0.0010892,0.0010892,0.0010892
48,660.013,1.68604,1.05161,2.04515,0.93737,0.81658,0.89974,0.68641,1.77281,1.05162,2.11841,0.0010694,0.0010694,0.0010694
49,673.677,1.6528,1.01679,2.0237,0.94838,0.80842,0.89861,0.69714,1.76119,1.06836,2.106,0.0010496,0.0010496,0.0010496
50,687.352,1.67653,1.00402,2.01372,0.92784,0.84511,0.90455,0.68491,1.72353,1.03731,2.0803,0.0010298,0.0010298,0.0010298
51,700.928,1.63112,0.9644,2.00382,0.93995,0.80842,0.87666,0.67482,1.77729,1.15813,2.11349,0.00101,0.00101,0.00101
52,714.424,1.67058,1.00415,2.03111,0.94504,0.81771,0.9086,0.68812,1.72824,1.01013,2.10007,0.0009902,0.0009902,0.0009902
53,727.972,1.65372,0.97521,2.00813,0.95271,0.82117,0.90133,0.69845,1.71418,1.09838,2.07159,0.0009704,0.0009704,0.0009704
54,741.657,1.65835,0.97136,2.00771,0.93635,0.77174,0.87979,0.68154,1.77843,1.24444,2.12334,0.0009506,0.0009506,0.0009506
55,755.233,1.62654,0.98821,1.99366,0.94692,0.83152,0.90341,0.7009,1.70583,1.02409,2.06819,0.0009308,0.0009308,0.0009308
56,768.846,1.61239,0.98307,2.00274,0.94434,0.82609,0.90906,0.69624,1.75414,1.05996,2.11756,0.000911,0.000911,0.000911
57,782.388,1.60029,0.95948,1.9832,0.9378,0.81114,0.90651,0.70525,1.70596,1.01929,2.07276,0.0008912,0.0008912,0.0008912
58,796.058,1.57859,0.97558,1.97391,0.94082,0.85054,0.91521,0.70316,1.70931,0.93926,2.09965,0.0008714,0.0008714,0.0008714
59,809.648,1.55997,0.94743,1.96152,0.96091,0.86141,0.92069,0.70894,1.68519,0.89926,2.06078,0.0008516,0.0008516,0.0008516
60,823.305,1.57607,0.94399,1.98418,0.94695,0.84882,0.92103,0.72695,1.67275,0.95781,2.04675,0.0008318,0.0008318,0.0008318
61,836.93,1.54122,0.94365,1.95797,0.93855,0.82609,0.91046,0.70567,1.68356,1.03475,2.06318,0.000812,0.000812,0.000812
62,850.435,1.53561,0.90891,1.95745,0.93011,0.85598,0.91714,0.71173,1.6678,0.9145,2.05148,0.0007922,0.0007922,0.0007922
63,864.014,1.516,0.89126,1.96214,0.9314,0.84854,0.91445,0.71203,1.69572,0.93081,2.08467,0.0007724,0.0007724,0.0007724
64,877.62,1.50164,0.86987,1.94899,0.95538,0.82473,0.91146,0.71042,1.71545,0.98048,2.06685,0.0007526,0.0007526,0.0007526
65,891.16,1.46948,0.87028,1.93995,0.95257,0.84589,0.93217,0.72294,1.67239,0.86755,2.05023,0.0007328,0.0007328,0.0007328
66,904.753,1.50018,0.89105,1.94881,0.9299,0.84783,0.92508,0.70862,1.70167,0.97625,2.07941,0.000713,0.000713,0.000713
67,918.306,1.52633,0.8938,1.96225,0.94612,0.85898,0.93124,0.71855,1.62456,0.87256,2.03998,0.0006932,0.0006932,0.0006932
68,931.895,1.50933,0.85507,1.95012,0.94064,0.875,0.93991,0.73178,1.62145,0.83479,2.0349,0.0006734,0.0006734,0.0006734
69,945.555,1.46794,0.83079,1.93114,0.96577,0.84345,0.9339,0.7256,1.63416,0.88842,2.04005,0.0006536,0.0006536,0.0006536
70,959.11,1.47698,0.86029,1.92984,0.97059,0.86141,0.9392,0.73018,1.61067,0.83553,2.02542,0.0006338,0.0006338,0.0006338
71,972.705,1.41685,0.82171,1.91575,0.96287,0.83424,0.92812,0.72435,1.66957,0.88571,2.0827,0.000614,0.000614,0.000614
72,986.247,1.44507,0.83382,1.93261,0.95521,0.84783,0.93262,0.7289,1.65543,0.9276,2.04468,0.0005942,0.0005942,0.0005942
73,999.868,1.46383,0.84967,1.90722,0.95077,0.86141,0.93664,0.73045,1.62188,0.84922,2.02762,0.0005744,0.0005744,0.0005744
74,1013.43,1.39152,0.8053,1.89105,0.95899,0.8578,0.93653,0.73335,1.6319,0.85017,2.05934,0.0005546,0.0005546,0.0005546
75,1027.09,1.40026,0.82093,1.91005,0.96467,0.85316,0.93288,0.73932,1.58448,0.85213,2.02364,0.0005348,0.0005348,0.0005348
76,1040.75,1.41192,0.82524,1.90983,0.94948,0.86141,0.93142,0.73892,1.61116,0.90208,2.04945,0.000515,0.000515,0.000515
77,1054.3,1.37752,0.7765,1.88193,0.94506,0.8648,0.93306,0.72637,1.60512,0.86232,2.04024,0.0004952,0.0004952,0.0004952
78,1067.87,1.35245,0.74649,1.88969,0.94572,0.87582,0.94268,0.73851,1.62516,0.81806,2.03632,0.0004754,0.0004754,0.0004754
79,1081.52,1.35505,0.78044,1.90003,0.94374,0.86615,0.93441,0.73188,1.61501,0.85003,2.04021,0.0004556,0.0004556,0.0004556
80,1095.11,1.38107,0.77983,1.9076,0.94959,0.87015,0.93712,0.73314,1.6065,0.82573,2.04441,0.0004358,0.0004358,0.0004358
81,1108.7,1.35558,0.78942,1.88423,0.9564,0.86432,0.93902,0.73365,1.59817,0.82058,2.04585,0.000416,0.000416,0.000416
82,1122.32,1.35614,0.79315,1.88677,0.95426,0.85598,0.93488,0.74054,1.59921,0.83809,2.03823,0.0003962,0.0003962,0.0003962
83,1136.01,1.31174,0.74011,1.87408,0.94866,0.87092,0.94154,0.75068,1.56521,0.84615,2.02214,0.0003764,0.0003764,0.0003764
84,1149.71,1.35151,0.76178,1.88633,0.96639,0.84647,0.94204,0.74504,1.54984,0.83725,2.01544,0.0003566,0.0003566,0.0003566
85,1163.33,1.30687,0.74092,1.8678,0.94891,0.85799,0.93868,0.74288,1.57949,0.80563,2.02421,0.0003368,0.0003368,0.0003368
86,1176.94,1.29278,0.72024,1.84763,0.95439,0.86957,0.94114,0.7439,1.59169,0.79887,2.03448,0.000317,0.000317,0.000317
87,1190.5,1.30281,0.74283,1.86388,0.94516,0.87228,0.94382,0.7486,1.58018,0.80507,2.03589,0.0002972,0.0002972,0.0002972
88,1204.04,1.2772,0.73015,1.85289,0.95773,0.8587,0.93821,0.74326,1.5847,0.82987,2.03668,0.0002774,0.0002774,0.0002774
89,1217.6,1.27696,0.70224,1.85718,0.97531,0.85866,0.93975,0.74546,1.58356,0.78868,2.03623,0.0002576,0.0002576,0.0002576
90,1231.18,1.27999,0.73916,1.85275,0.9592,0.8519,0.94309,0.75116,1.57606,0.83055,2.03808,0.0002378,0.0002378,0.0002378
91,1250.46,1.15457,0.60072,1.77928,0.96019,0.85326,0.93966,0.74432,1.60508,0.85506,2.05065,0.000218,0.000218,0.000218
92,1264.06,1.1377,0.55655,1.7694,0.94714,0.86957,0.9371,0.74918,1.5719,0.84637,2.01898,0.0001982,0.0001982,0.0001982
93,1277.61,1.13391,0.55071,1.77935,0.94594,0.87974,0.94062,0.74692,1.57736,0.80909,2.02858,0.0001784,0.0001784,0.0001784
94,1291.1,1.14008,0.545,1.78008,0.97425,0.86957,0.94207,0.74913,1.56939,0.80558,2.02958,0.0001586,0.0001586,0.0001586
95,1304.59,1.09132,0.52785,1.7478,0.93455,0.88315,0.94355,0.74753,1.56757,0.81457,2.02937,0.0001388,0.0001388,0.0001388
96,1318.09,1.09011,0.52766,1.76522,0.95292,0.87772,0.94019,0.75156,1.56485,0.82277,2.02616,0.000119,0.000119,0.000119
97,1331.75,1.08153,0.51837,1.74543,0.97381,0.85884,0.94046,0.75208,1.57121,0.84463,2.03482,9.92e-05,9.92e-05,9.92e-05
98,1345.4,1.06726,0.511,1.75727,0.96941,0.86111,0.94084,0.75618,1.56514,0.82719,2.03202,7.94e-05,7.94e-05,7.94e-05
99,1359.06,1.0709,0.51021,1.75304,0.96098,0.86821,0.94063,0.75546,1.56869,0.83957,2.02955,5.96e-05,5.96e-05,5.96e-05
100,1372.64,1.05051,0.49846,1.73851,0.96359,0.86297,0.94287,0.75419,1.55622,0.82659,2.03084,3.98e-05,3.98e-05,3.98e-05
