epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0768,1.17087,2.15867,1.1698,0.67794,0.50543,0.53309,0.29258,1.52296,1.64499,1.46497,0.000651163,0.000651163,0.000651163
2,22.3714,1.24682,1.02459,1.20143,0.56002,0.30978,0.32226,0.16378,2.06917,2.98572,1.90376,0.00130478,0.00130478,0.00130478
3,29.6465,1.35257,1.07213,1.24727,0.02366,0.44429,0.01579,0.00758,1.98622,34.8348,2.13272,0.0019452,0.0019452,0.0019452
4,36.8928,1.37585,1.09612,1.28036,0.69435,0.49728,0.5505,0.33003,1.46803,2.34005,1.43783,0.0019406,0.0019406,0.0019406
5,44.1741,1.28156,0.98024,1.22446,0.84235,0.6644,0.7395,0.45728,1.35523,1.12116,1.33484,0.0019208,0.0019208,0.0019208
6,51.6654,1.24616,0.92768,1.20741,0.85791,0.57065,0.66331,0.42333,1.33864,1.18881,1.29161,0.001901,0.001901,0.001901
7,58.8769,1.20073,0.86472,1.16422,0.83552,0.60054,0.67411,0.44185,1.3086,1.13914,1.28814,0.0018812,0.0018812,0.0018812
8,66.1314,1.17762,0.85106,1.16663,0.86779,0.64209,0.72083,0.47818,1.20002,1.0113,1.17839,0.0018614,0.0018614,0.0018614
9,73.3863,1.13561,0.81575,1.1343,0.86596,0.62772,0.70703,0.46431,1.24722,1.07011,1.24923,0.0018416,0.0018416,0.0018416
10,80.6307,1.12533,0.76847,1.12894,0.91191,0.71603,0.81705,0.55716,1.12894,0.77787,1.15624,0.0018218,0.0018218,0.0018218
11,87.9616,1.09251,0.74837,1.12153,0.86137,0.72604,0.814,0.5597,1.13136,0.8593,1.1632,0.001802,0.001802,0.001802
12,95.3631,1.08938,0.741,1.11498,0.90543,0.75272,0.83593,0.55637,1.13204,0.77831,1.1548,0.0017822,0.0017822,0.0017822
13,102.62,1.04509,0.70146,1.0958,0.91496,0.71332,0.7865,0.54413,1.10622,0.80606,1.13388,0.0017624,0.0017624,0.0017624
14,109.917,1.04882,0.6962,1.1007,0.90573,0.77015,0.8535,0.59694,1.0506,0.68223,1.10909,0.0017426,0.0017426,0.0017426
15,117.214,1.01914,0.68127,1.07976,0.9182,0.71739,0.80653,0.573,1.06583,0.7744,1.13105,0.0017228,0.0017228,0.0017228
16,124.493,1.01915,0.66881,1.07788,0.91477,0.7583,0.8467,0.60002,1.00585,0.82266,1.08535,0.001703,0.001703,0.001703
17,132.069,1.00422,0.6629,1.07503,0.93869,0.74185,0.81438,0.58926,1.03933,0.69851,1.10347,0.0016832,0.0016832,0.0016832
18,139.341,1.012,0.65574,1.07529,0.93494,0.74199,0.8234,0.5757,1.04759,0.87364,1.10626,0.0016634,0.0016634,0.0016634
19,146.59,0.97897,0.64035,1.05164,0.92161,0.76766,0.87039,0.61726,0.99148,0.62943,1.07985,0.0016436,0.0016436,0.0016436
20,153.923,0.96494,0.62294,1.06133,0.92552,0.79212,0.87814,0.62967,0.96346,0.64941,1.0663,0.0016238,0.0016238,0.0016238
21,161.242,0.97483,0.62346,1.05476,0.92731,0.77994,0.86911,0.61331,0.99956,0.63033,1.07538,0.001604,0.001604,0.001604
22,168.538,0.97528,0.63082,1.05742,0.92031,0.79348,0.8804,0.63068,0.97473,0.59638,1.07478,0.0015842,0.0015842,0.0015842
23,176.147,0.95938,0.61634,1.05485,0.92655,0.79076,0.85904,0.61901,0.94768,0.67104,1.05892,0.0015644,0.0015644,0.0015644
24,183.395,0.92401,0.58878,1.03124,0.94677,0.7894,0.88038,0.63105,0.97227,0.59868,1.06281,0.0015446,0.0015446,0.0015446
25,190.758,0.9408,0.60038,1.04307,0.93707,0.7962,0.87721,0.63534,0.95191,0.58356,1.05256,0.0015248,0.0015248,0.0015248
26,198.133,0.92052,0.59335,1.03057,0.94236,0.82191,0.88858,0.64704,0.92888,0.61133,1.04968,0.001505,0.001505,0.001505
27,205.478,0.93775,0.58488,1.04282,0.89249,0.82338,0.87804,0.64006,0.93488,0.60493,1.0486,0.0014852,0.0014852,0.0014852
28,212.95,0.90775,0.58423,1.02785,0.95606,0.79825,0.88776,0.65418,0.92722,0.54736,1.03188,0.0014654,0.0014654,0.0014654
29,220.191,0.89319,0.56352,1.02414,0.93189,0.81799,0.89173,0.64876,0.94542,0.55231,1.05517,0.0014456,0.0014456,0.0014456
30,227.439,0.87704,0.56645,1.02263,0.91753,0.81628,0.87888,0.64224,0.90551,0.57087,1.03776,0.0014258,0.0014258,0.0014258
31,234.651,0.88155,0.55235,1.00822,0.91848,0.81138,0.88313,0.65178,0.91558,0.54743,1.03009,0.001406,0.001406,0.001406
32,241.808,0.87706,0.54974,1.01641,0.9455,0.80143,0.887,0.65269,0.89422,0.57267,1.03016,0.0013862,0.0013862,0.0013862
33,249.287,0.86366,0.54352,1.01255,0.93469,0.81658,0.89379,0.6688,0.89299,0.54182,1.02466,0.0013664,0.0013664,0.0013664
34,256.541,0.85653,0.54035,1.00738,0.92421,0.8284,0.894,0.64681,0.89976,0.57369,1.02984,0.0013466,0.0013466,0.0013466
35,263.755,0.86113,0.54753,1.01061,0.94943,0.80978,0.89562,0.66757,0.88473,0.52122,1.02583,0.0013268,0.0013268,0.0013268
36,270.899,0.83416,0.51795,0.99131,0.94242,0.80571,0.9023,0.66406,0.88951,0.54496,1.02658,0.001307,0.001307,0.001307
37,278.092,0.84695,0.53101,0.99719,0.95485,0.80457,0.90559,0.68555,0.85566,0.50904,1.00848,0.0012872,0.0012872,0.0012872
38,285.598,0.85578,0.52698,0.99994,0.94035,0.8139,0.90723,0.67057,0.8908,0.5401,1.02831,0.0012674,0.0012674,0.0012674
39,292.777,0.84128,0.52841,1.00201,0.93491,0.85054,0.91096,0.67908,0.88077,0.51352,1.02311,0.0012476,0.0012476,0.0012476
40,299.938,0.825,0.50906,0.9883,0.9393,0.84106,0.90834,0.67867,0.87989,0.51659,1.01962,0.0012278,0.0012278,0.0012278
41,307.13,0.82803,0.51616,0.99136,0.9754,0.80814,0.8932,0.66197,0.89192,0.53733,1.02195,0.001208,0.001208,0.001208
42,314.331,0.80257,0.50007,0.98218,0.94533,0.83152,0.90515,0.67473,0.8629,0.51578,1.01779,0.0011882,0.0011882,0.0011882
43,321.698,0.81787,0.50248,0.9908,0.94639,0.84918,0.91011,0.67282,0.877,0.48962,1.01859,0.0011684,0.0011684,0.0011684
44,328.867,0.79681,0.48589,0.97337,0.95318,0.82978,0.90834,0.68477,0.84586,0.49463,1.00184,0.0011486,0.0011486,0.0011486
45,336.018,0.80517,0.49433,0.97979,0.92157,0.85598,0.91253,0.68055,0.85062,0.49236,1.01394,0.0011288,0.0011288,0.0011288
46,343.178,0.80341,0.49195,0.98548,0.94852,0.81929,0.87616,0.66275,0.85834,0.54253,1.01484,0.001109,0.001109,0.001109
47,350.408,0.78566,0.48285,0.96971,0.94929,0.84239,0.91804,0.69193,0.83857,0.47077,1.00962,0.0010892,0.0010892,0.0010892
48,357.643,0.78616,0.47592,0.97771,0.90658,0.84375,0.89944,0.67392,0.86977,0.5449,1.0257,0.0010694,0.0010694,0.0010694
49,364.972,0.7796,0.4783,0.97364,0.94255,0.84918,0.90823,0.68956,0.82367,0.49407,1.00524,0.0010496,0.0010496,0.0010496
50,372.199,0.78648,0.47113,0.96862,0.93048,0.83652,0.90887,0.69212,0.82778,0.49123,0.99413,0.0010298,0.0010298,0.0010298
51,379.369,0.7591,0.45717,0.95899,0.92019,0.84589,0.91646,0.69826,0.82758,0.49045,0.9964,0.00101,0.00101,0.00101
52,386.593,0.76674,0.46888,0.965,0.94342,0.83816,0.91474,0.69435,0.81833,0.47647,0.99224,0.0009902,0.0009902,0.0009902
53,393.811,0.75587,0.45555,0.95513,0.92061,0.85084,0.90696,0.68946,0.81516,0.4936,0.99288,0.0009704,0.0009704,0.0009704
54,401.27,0.76849,0.46051,0.96049,0.95094,0.84511,0.92348,0.71086,0.80627,0.44344,0.98885,0.0009506,0.0009506,0.0009506
55,408.463,0.757,0.4608,0.95818,0.94249,0.84611,0.90043,0.68801,0.81752,0.49702,0.99782,0.0009308,0.0009308,0.0009308
56,415.619,0.74341,0.4535,0.95867,0.95208,0.83687,0.91985,0.70139,0.81708,0.47185,0.9959,0.000911,0.000911,0.000911
57,422.757,0.74227,0.44911,0.95255,0.94089,0.86503,0.9277,0.7019,0.82025,0.45631,0.98887,0.0008912,0.0008912,0.0008912
58,429.953,0.74307,0.44847,0.95256,0.9551,0.83811,0.91143,0.70422,0.81732,0.47841,0.99451,0.0008714,0.0008714,0.0008714
59,437.37,0.73951,0.44669,0.94742,0.95702,0.84715,0.92328,0.70927,0.81847,0.45379,0.99735,0.0008516,0.0008516,0.0008516
60,444.51,0.73406,0.44542,0.95567,0.95979,0.84647,0.91176,0.70194,0.81673,0.44289,0.98855,0.0008318,0.0008318,0.0008318
61,451.678,0.73118,0.43775,0.94364,0.95588,0.85359,0.92421,0.70118,0.8133,0.44729,0.99261,0.000812,0.000812,0.000812
62,458.84,0.71303,0.42351,0.94023,0.93431,0.86685,0.92512,0.70687,0.815,0.45122,0.99408,0.0007922,0.0007922,0.0007922
63,466.004,0.71046,0.42291,0.9427,0.94378,0.85598,0.92478,0.71278,0.80814,0.45644,0.99343,0.0007724,0.0007724,0.0007724
64,473.219,0.70408,0.42058,0.93884,0.95332,0.86021,0.92698,0.70913,0.80687,0.45478,0.99519,0.0007526,0.0007526,0.0007526
65,480.494,0.6974,0.41648,0.93773,0.94544,0.86549,0.92368,0.72205,0.78147,0.44722,0.97639,0.0007328,0.0007328,0.0007328
66,487.704,0.70183,0.41851,0.93902,0.95262,0.84689,0.92533,0.706,0.80606,0.47615,0.99399,0.000713,0.000713,0.000713
67,494.909,0.70155,0.42007,0.94007,0.95721,0.86005,0.92481,0.71078,0.797,0.43893,0.98179,0.0006932,0.0006932,0.0006932
68,502.105,0.69832,0.41548,0.93679,0.96633,0.8519,0.9281,0.71757,0.78647,0.42049,0.97654,0.0006734,0.0006734,0.0006734
69,509.297,0.68867,0.40848,0.93252,0.94821,0.84574,0.92448,0.71014,0.79709,0.45145,0.98294,0.0006536,0.0006536,0.0006536
70,516.716,0.69108,0.41343,0.93414,0.97465,0.85598,0.93502,0.72328,0.7806,0.4296,0.97123,0.0006338,0.0006338,0.0006338
71,523.923,0.66871,0.39887,0.9262,0.96452,0.84961,0.92879,0.72433,0.7895,0.44098,0.98189,0.000614,0.000614,0.000614
72,531.173,0.67592,0.39957,0.93353,0.97579,0.8519,0.92771,0.72154,0.77521,0.43778,0.96753,0.0005942,0.0005942,0.0005942
73,538.354,0.67792,0.40453,0.92376,0.96029,0.85419,0.93004,0.72089,0.78093,0.42728,0.9714,0.0005744,0.0005744,0.0005744
74,545.543,0.65362,0.39017,0.91231,0.9565,0.86685,0.93366,0.72715,0.77396,0.41899,0.97397,0.0005546,0.0005546,0.0005546
75,552.729,0.66361,0.39562,0.92152,0.9643,0.85326,0.92477,0.72573,0.78062,0.42767,0.97493,0.0005348,0.0005348,0.0005348
76,560.083,0.66387,0.39688,0.92386,0.95593,0.86413,0.92868,0.72156,0.77694,0.4298,0.97476,0.000515,0.000515,0.000515
77,567.201,0.65061,0.37991,0.9154,0.9678,0.85767,0.92975,0.72789,0.7665,0.4208,0.97224,0.0004952,0.0004952,0.0004952
78,574.42,0.6409,0.37654,0.91523,0.95995,0.86957,0.9312,0.7312,0.78048,0.42302,0.97692,0.0004754,0.0004754,0.0004754
79,581.627,0.64344,0.3762,0.92228,0.97059,0.85198,0.93828,0.73713,0.76524,0.40876,0.96616,0.0004556,0.0004556,0.0004556
80,588.832,0.6526,0.38428,0.92281,0.96406,0.85734,0.9283,0.72483,0.77454,0.41294,0.97055,0.0004358,0.0004358,0.0004358
81,596.166,0.64519,0.38699,0.91838,0.95986,0.86277,0.92973,0.72856,0.77251,0.41527,0.97663,0.000416,0.000416,0.000416
82,603.35,0.65373,0.3851,0.91936,0.97374,0.85326,0.92861,0.7323,0.76208,0.41734,0.9727,0.0003962,0.0003962,0.0003962
83,610.552,0.6303,0.36913,0.91151,0.96314,0.85195,0.92209,0.72565,0.75749,0.42768,0.96589,0.0003764,0.0003764,0.0003764
84,617.627,0.63607,0.3785,0.91416,0.95301,0.87228,0.93393,0.7348,0.7544,0.41214,0.97045,0.0003566,0.0003566,0.0003566
85,624.791,0.62101,0.36407,0.90475,0.96224,0.8657,0.93447,0.73654,0.75082,0.38891,0.96746,0.0003368,0.0003368,0.0003368
86,632.178,0.61927,0.3594,0.90236,0.9553,0.87122,0.93686,0.7392,0.74556,0.3959,0.96067,0.000317,0.000317,0.000317
87,639.404,0.62434,0.36449,0.91148,0.96365,0.86439,0.93779,0.73826,0.74828,0.39308,0.96374,0.0002972,0.0002972,0.0002972
88,646.549,0.6053,0.35572,0.90139,0.96668,0.86549,0.93632,0.73822,0.74449,0.40784,0.95905,0.0002774,0.0002774,0.0002774
89,653.674,0.61136,0.35254,0.90116,0.96942,0.87636,0.93761,0.73927,0.74807,0.40513,0.9605,0.0002576,0.0002576,0.0002576
90,660.852,0.60841,0.3559,0.90235,0.9655,0.87459,0.93946,0.74,0.74958,0.38902,0.96365,0.0002378,0.0002378,0.0002378
91,674.886,0.57285,0.31874,0.88442,0.97173,0.8587,0.93619,0.73823,0.75634,0.38804,0.97067,0.000218,0.000218,0.000218
92,682.063,0.54549,0.30018,0.87179,0.96796,0.86209,0.93844,0.73998,0.75034,0.38763,0.97235,0.0001982,0.0001982,0.0001982
93,689.201,0.54695,0.29843,0.87637,0.97088,0.86005,0.93806,0.74156,0.74815,0.38949,0.96738,0.0001784,0.0001784,0.0001784
94,696.351,0.54394,0.29522,0.87209,0.97387,0.86077,0.93372,0.74039,0.7445,0.39543,0.96391,0.0001586,0.0001586,0.0001586
95,703.399,0.53959,0.28868,0.86446,0.97088,0.86067,0.93737,0.74305,0.74958,0.39206,0.96664,0.0001388,0.0001388,0.0001388
96,710.715,0.53337,0.28909,0.86918,0.97098,0.86413,0.93931,0.7467,0.74124,0.38881,0.9632,0.000119,0.000119,0.000119
97,717.805,0.52625,0.28618,0.86235,0.9694,0.86141,0.93663,0.74858,0.74097,0.38912,0.96331,9.92e-05,9.92e-05,9.92e-05
98,724.964,0.52818,0.28408,0.87117,0.96074,0.87092,0.93744,0.75064,0.73892,0.39405,0.96547,7.94e-05,7.94e-05,7.94e-05
99,732.117,0.52039,0.27974,0.86707,0.97513,0.85734,0.93204,0.74878,0.73359,0.38839,0.96062,5.96e-05,5.96e-05,5.96e-05
100,739.202,0.51768,0.2809,0.85873,0.97126,0.86549,0.93409,0.74826,0.73257,0.38229,0.96145,3.98e-05,3.98e-05,3.98e-05
