epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3599,1.20574,2.10465,1.20382,0.00552,0.07065,0.00245,0.00129,2.46595,inf,5.08159,0.00064,0.00064,0.00064
2,45.3032,1.3882,1.1813,1.30077,0.00132,0.00136,0.00069,0.00027,nan,nan,nan,0.00128713,0.00128713,0.00128713
3,60.0356,1.5399,1.27038,1.39467,0,0,0,0,nan,nan,nan,0.00192119,0.00192119,0.00192119
4,73.888,1.46473,1.23248,1.34811,0,0,0,0,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,89.1769,1.42467,1.11037,1.32051,0.23435,0.14402,0.09073,0.03662,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,102.982,1.37048,1.04972,1.28332,0.67574,0.4785,0.51257,0.29498,1.51821,6.5166,1.55426,0.001901,0.001901,0.001901
7,116.593,1.28224,0.97986,1.24342,0.7134,0.44022,0.50834,0.30206,1.5501,3.37533,1.5136,0.0018812,0.0018812,0.0018812
8,130.161,1.24293,0.91342,1.21327,0.83723,0.64294,0.7348,0.46511,1.2824,2.01,1.29048,0.0018614,0.0018614,0.0018614
9,143.523,1.20261,0.87494,1.19354,0.79971,0.54249,0.60277,0.36396,1.41872,2.59774,1.44026,0.0018416,0.0018416,0.0018416
10,156.902,1.1786,0.84106,1.18775,0.87037,0.66033,0.74991,0.49598,1.15059,1.6738,1.24502,0.0018218,0.0018218,0.0018218
11,170.192,1.15841,0.80413,1.16122,0.88673,0.69158,0.77351,0.50615,1.1879,0.96776,1.25343,0.001802,0.001802,0.001802
12,183.707,1.13571,0.80731,1.15821,0.83486,0.71875,0.78154,0.48521,1.2339,0.92902,1.30658,0.0017822,0.0017822,0.0017822
13,196.887,1.1172,0.78587,1.15594,0.79051,0.63723,0.70397,0.46339,1.26653,1.43135,1.29405,0.0017624,0.0017624,0.0017624
14,210.125,1.12102,0.76906,1.14639,0.83891,0.65803,0.72118,0.45846,1.25654,1.08176,1.27935,0.0017426,0.0017426,0.0017426
15,223.493,1.08316,0.74169,1.12187,0.90028,0.71196,0.79848,0.54668,1.05322,0.83613,1.16074,0.0017228,0.0017228,0.0017228
16,236.79,1.05534,0.71742,1.10743,0.86706,0.70891,0.80173,0.54864,1.11521,1.12426,1.18263,0.001703,0.001703,0.001703
17,250.035,1.06294,0.72633,1.11703,0.88797,0.7106,0.77989,0.54918,1.06626,0.82827,1.14569,0.0016832,0.0016832,0.0016832
18,263.315,1.04012,0.69653,1.10471,0.91242,0.73234,0.80959,0.57146,1.0204,0.99523,1.14153,0.0016634,0.0016634,0.0016634
19,276.701,1.02915,0.69637,1.0984,0.92493,0.69701,0.78954,0.55222,1.05298,0.83574,1.17712,0.0016436,0.0016436,0.0016436
20,289.958,1.01403,0.68638,1.09378,0.85049,0.75742,0.83059,0.5808,1.01079,0.74728,1.13935,0.0016238,0.0016238,0.0016238
21,303.408,1.00751,0.68664,1.09465,0.91247,0.77901,0.83418,0.5875,1.0118,0.73442,1.14599,0.001604,0.001604,0.001604
22,316.783,0.98699,0.65852,1.08334,0.88367,0.7038,0.78643,0.54162,1.06083,0.82036,1.17724,0.0015842,0.0015842,0.0015842
23,330.247,0.98441,0.6435,1.07909,0.86831,0.64402,0.73389,0.50486,1.11243,0.89214,1.18748,0.0015644,0.0015644,0.0015644
24,343.731,0.95713,0.63396,1.07286,0.88018,0.7106,0.76471,0.53483,1.07307,0.93638,1.17499,0.0015446,0.0015446,0.0015446
25,357.098,0.96867,0.63794,1.07654,0.91843,0.74961,0.83847,0.59833,0.94374,0.69091,1.10243,0.0015248,0.0015248,0.0015248
26,370.59,0.94496,0.62453,1.05367,0.91991,0.7663,0.85927,0.61973,0.95312,0.71024,1.08579,0.001505,0.001505,0.001505
27,383.988,0.93983,0.61689,1.05887,0.85865,0.77038,0.82077,0.59123,0.95662,0.73218,1.10689,0.0014852,0.0014852,0.0014852
28,397.236,0.93023,0.60756,1.06418,0.92836,0.79212,0.88009,0.64712,0.87084,0.5811,1.063,0.0014654,0.0014654,0.0014654
29,410.798,0.91593,0.59523,1.04195,0.94532,0.75161,0.8203,0.59316,0.91359,0.78112,1.07029,0.0014456,0.0014456,0.0014456
30,424.791,0.92474,0.59768,1.05333,0.93663,0.75543,0.82807,0.6069,0.88249,0.81963,1.07549,0.0014258,0.0014258,0.0014258
31,438.01,0.89582,0.57476,1.02723,0.94455,0.76495,0.83821,0.62101,0.91337,0.69253,1.08926,0.001406,0.001406,0.001406
32,451.457,0.89575,0.58165,1.03092,0.93104,0.82609,0.88811,0.65773,0.86689,0.54805,1.04872,0.0013862,0.0013862,0.0013862
33,464.938,0.8768,0.55799,1.01899,0.91404,0.80027,0.86949,0.63864,0.88826,0.59911,1.06534,0.0013664,0.0013664,0.0013664
34,478.707,0.88983,0.56931,1.03349,0.94325,0.78668,0.88753,0.64337,0.89775,0.59507,1.05407,0.0013466,0.0013466,0.0013466
35,492.919,0.88084,0.55256,1.02056,0.95275,0.77446,0.85806,0.63185,0.87322,0.70271,1.07593,0.0013268,0.0013268,0.0013268
36,506.332,0.87124,0.55817,1.02021,0.94011,0.79348,0.87475,0.63864,0.9024,0.64043,1.06166,0.001307,0.001307,0.001307
37,519.545,0.87678,0.54998,1.01637,0.93072,0.7484,0.81408,0.58419,0.9638,0.80531,1.1094,0.0012872,0.0012872,0.0012872
38,532.689,0.86929,0.55038,1.0245,0.93265,0.75272,0.83478,0.5756,1.03354,0.66499,1.16324,0.0012674,0.0012674,0.0012674
39,545.813,0.85848,0.53504,1.02266,0.91479,0.8125,0.88294,0.65375,0.88139,0.56877,1.06535,0.0012476,0.0012476,0.0012476
40,558.989,0.85387,0.5362,1.01806,0.95347,0.78668,0.84321,0.62688,0.90092,0.73502,1.07912,0.0012278,0.0012278,0.0012278
41,572.153,0.83811,0.52996,1.00692,0.92801,0.82337,0.89304,0.66563,0.85994,0.56227,1.06206,0.001208,0.001208,0.001208
42,585.44,0.83651,0.53007,1.01168,0.94829,0.82217,0.90566,0.68469,0.83884,0.53963,1.04137,0.0011882,0.0011882,0.0011882
43,598.701,0.82396,0.52715,1,0.93597,0.84103,0.91357,0.68412,0.82477,0.5526,1.04394,0.0011684,0.0011684,0.0011684
44,611.974,0.8295,0.52493,0.99899,0.92089,0.82247,0.90248,0.6728,0.86013,0.57107,1.04652,0.0011486,0.0011486,0.0011486
45,625.13,0.82295,0.50957,0.99515,0.93803,0.80842,0.88963,0.67254,0.83517,0.6214,1.04112,0.0011288,0.0011288,0.0011288
46,638.261,0.81207,0.5025,1.00023,0.93253,0.8075,0.87942,0.66173,0.84104,0.57041,1.04429,0.001109,0.001109,0.001109
47,651.397,0.81991,0.51278,1.00414,0.9236,0.81522,0.8975,0.67497,0.85684,0.5541,1.06869,0.0010892,0.0010892,0.0010892
48,664.535,0.81012,0.4991,0.99295,0.93353,0.84103,0.91016,0.67646,0.85553,0.55781,1.03778,0.0010694,0.0010694,0.0010694
49,677.644,0.80034,0.48995,0.9833,0.97036,0.81929,0.91075,0.69325,0.79572,0.487,1.01801,0.0010496,0.0010496,0.0010496
50,690.861,0.78758,0.48291,0.98352,0.93287,0.84647,0.90962,0.6946,0.7803,0.48619,1.00505,0.0010298,0.0010298,0.0010298
51,704.07,0.79362,0.48679,0.98196,0.9438,0.84421,0.91333,0.6965,0.79672,0.53504,1.01948,0.00101,0.00101,0.00101
52,717.32,0.78127,0.48088,0.98525,0.96352,0.82549,0.90644,0.7002,0.80738,0.5063,1.035,0.0009902,0.0009902,0.0009902
53,730.553,0.76837,0.46018,0.96592,0.9652,0.82473,0.91075,0.70803,0.81355,0.55787,1.03447,0.0009704,0.0009704,0.0009704
54,743.862,0.78699,0.47672,0.98526,0.95281,0.83967,0.90168,0.69202,0.79672,0.53359,1.03077,0.0009506,0.0009506,0.0009506
55,756.994,0.76349,0.4661,0.97361,0.94821,0.84511,0.92221,0.71208,0.79816,0.52897,1.01964,0.0009308,0.0009308,0.0009308
56,770.263,0.77079,0.45889,0.97503,0.94023,0.85462,0.91434,0.70736,0.80793,0.53758,1.04651,0.000911,0.000911,0.000911
57,783.381,0.75923,0.45248,0.96613,0.93569,0.8519,0.9234,0.69043,0.83251,0.50947,1.04553,0.0008912,0.0008912,0.0008912
58,796.503,0.73643,0.44757,0.96447,0.94513,0.84245,0.91463,0.69853,0.77917,0.48692,1.01228,0.0008714,0.0008714,0.0008714
59,809.589,0.73416,0.45187,0.96248,0.94995,0.84511,0.92025,0.70494,0.77039,0.48115,1.00983,0.0008516,0.0008516,0.0008516
60,822.696,0.75007,0.46254,0.96224,0.95363,0.83821,0.92337,0.70878,0.76757,0.46087,0.99319,0.0008318,0.0008318,0.0008318
61,835.827,0.72342,0.44375,0.9565,0.93201,0.83814,0.91921,0.70662,0.82082,0.57443,1.04716,0.000812,0.000812,0.000812
